Group,GroupCode,Nationalism.Revisionism,Islamism.Salafism,Sectarianism,AVG.Score,Location,State.Sponsors,GroupSize,GroupSize_full,Powerbroker
Ahrar al-Sham Islamic Movement,ASIM,1.25,5.00,2.25,2.83,National,"Qatar, Saudi Arabia, Turkey",15000.00,"10,000-15,000-20,000",1
Islamic State,ISIL,5.00,5.00,5.00,5.00,National,,25000.00,"20,000-31,500",1
Al-Nusrah Front,ANF,4.00,5.00,5.00,4.67,National,,7000.00,"5,000-7,000-10,000",1
People's Protection Units ,YPG,5.00,1.00,1.00,2.33,North Syria,US,40000.00,"30,000-50,000",1
Al-Tawhid Brigade (Liwa al-Tawhid),ATB,2.00,3.00,2.00,2.33,"Aleppo, Homs, Raqqa","Qatar, Turkey",8000.00,"7,000-8,000-11,000",1
Nur al-Din al-Zinkin Movement,NADAZM,2.00,2.00,1.00,1.67,"Aleppo, Idlib","Saudi Arabia, Turkey, US",5000.00,"1,500-5,000-7,000",1
Suqur al-Sham Brigades,SAS,1.00,1.00,1.00,1.00,"Idlib, Aleppo",,9000.00,"8,000-9,000,10,000",0
Syrian Revolutionaries Front,SRF,1.00,1.50,1.50,1.33,"Idlib, Aleppo, Hama","Saudi Arabia, Turkey",12500.00,"10,000-15,000",0
Jaysh al-Mujahidin (Mujahidin Army),JAM,1.00,2.00,1.00,1.33,Aleppo,"Turkey, Qatar, US",8500.00,"5,000-12,000",1
Jaysh al-Islam (Army of Islam),JAI,1.00,5.00,3.00,3.00,National,Saudi Arabia,17000.00,"12,000-17,000-20,000",1
Al-Furqan Brigades,AFB,1.00,2.50,1.50,1.67,National,"Qatar, US",2000.00,"2,000",0
Ansar al-Sham Battalions,AASB,2.00,3.00,1.00,2.00,"Latakia, Idlib, Aleppo",,2500.00,"2,500",0
Ahfad al-Rasul Brigades,AARB,1.00,2.00,1.00,1.33,National,"Saudi Arabia, Qatar",9000.00,"7,000-9,000-10,000",0
Authenticity and Development Front,AADF,1.00,2.00,1.00,1.33,National,Saudi,5000.00,"2,000-5,000-13,000",0
Al-Farouq Brigades,AF,1.00,1.00,1.00,1.00,"Homs, Aleppo","Saudi Arabia, Qatar, Turkey",10000.00,"7,000-10,000-14,000",1
Mujahidin Shura Council,MSC,2.00,5.00,3.67,3.56,Deir al-Zour,,500.00,,0
Southern Front,SF,1.00,1.50,1.25,1.25,National,"Saudi Arabia, Jordan, US",35000.00,"30,000-38,000-40,000",1
Hazm Movement,Hazm,1.00,1.00,1.00,1.00,National,US,4000.00,"3,000-4,000,5,000",0
Ansar al-Din Front,ADF,4.00,5.00,5.00,4.67,National,,1550.00,"1,400-1,550-1,800",0
Ahrar al-Shamal Brigade,AALS,1.00,1.00,1.00,1.00,Aleppo,,500.00,,0
Jund al-Aqsa,JAA,5.00,5.00,5.00,5.00,"Hama, Idlib, Aleppo",,800.00,"600-800-1,000",0
Faylaq al-Rahman (Al-Rahman Corps; Al-Rahman Legion),ARC,1.00,3.00,1.00,1.67,"Rif Dimashq, Damascus","US, Jordan",6000.00,"2,000-6,000-7,000",1
101st Infantry Division,101st,1.00,1.00,1.00,1.00,"Idlib, Aleppo, Hama",US,2000.00,"2,000",0
13th Division,13th,1.00,1.00,1.00,1.00,"Idlib, Aleppo, Hama",US,1800.00,"1,800",0
Fastaqim Kama Umirta Gathering,FKUG,1.00,3.00,1.00,1.67,"Aleppo, Idlib",US,1100.00,"900-1,300",0
Jaysh al-Muhajirin wal-Ansar,JMA,4.00,5.00,5.00,4.67,"Aleppo, Idlib, Latakia",,750.00,"600-750-1,000",0
Levantine Front,LF,2.00,3.00,2.00,2.33,"Aleppo, Homs, Raqqa","Qatar, Turkey",8000.00,"7,000-8,000-11,000",1
Ajnad al-Sham Islamic Union,AASG,2.67,3.67,1.33,2.56,"Damscus, Rif Dimashq",,3000.00,"3,000",0
Al-Fawj Al-Awal (1st Regiment),1st,1.00,2.00,1.00,1.33,"Aleppo, Hama",US,900.00,"500-900-1,500",1
Al-Sham Legion (Faylaq al-Sham/Sham Corps),ASL,1.00,1.00,2.00,1.33,National,"Turkey, Qatar, US",4500.00,"4,000-4,500-5,000",1